system:time_start,NNIRV,,,,,
3-Nov-19,"1,412.98",,,,,
3-Nov-19,"1,054.01",,,,,
3-Nov-19,564.644,,,,,
3-Nov-19,"1,449.65",,,,,
8-Nov-19,"1,196.73",,,,,
8-Nov-19,815.729,,,,,
11-Nov-19,"1,155.27",,,,,
13-Nov-19,"1,310.30",,,,,
16-Nov-19,"1,065.14",,,,,
18-Nov-19,"1,110.70",,,,,
1-Dec-19,883.779,,,,,
3-Dec-19,"1,086.66",,,,,
8-Dec-19,908.966,,,,,
7-Jan-20,798.882,,,,,
10-Jan-20,"1,059.31",,,,,
12-Jan-20,"1,174.22",,,,,
20-Jan-20,870.806,,,,,
22-Jan-20,"1,393.49",,,,,
1-Feb-20,"1,335.60",,,,,
4-Feb-20,"1,116.06",,,,,
26-Feb-20,"1,295.07",,,,,
26-Feb-20,"1,037.94",,,,,
29-Feb-20,"1,117.87",,,,,
7-Mar-20,"1,325.26",,,,,
7-Mar-20,828.803,,,,,
10-Mar-20,977.668,,,,,
12-Mar-20,"1,281.78",,,,,
12-Mar-20,"1,118.81",,,,,
12-Mar-20,"1,474.59",,,,,
24-Apr-20,"1,368.36",,,,,
14-May-20,"1,194.08",,,,,
19-May-20,"1,088.42",,,,,
5-Jun-20,"1,249.57",,,,,
20-Jun-20,"1,256.33",,,,,
3-Jul-20,"1,278.71",,,,,
8-Jul-20,"1,181.50",,,,,
10-Jul-20,"1,045.12",,,,,
10-Jul-20,"1,069.59",,,,,
13-Jul-20,"1,188.96",,,,,
15-Jul-20,"1,042.62",,,,,
15-Jul-20,"1,094.82",,,,,
15-Jul-20,"1,294.42",,,,,
18-Jul-20,"1,171.50",,,,,
23-Jul-20,"1,340.09",,,,,
28-Jul-20,768.082,,,,,
30-Jul-20,"1,012.49",,,,,
4-Aug-20,"1,164.50",,,,,
4-Aug-20,913.314,,,,,
4-Aug-20,349.142,,,,,
4-Aug-20,826.123,,,,,
7-Aug-20,"1,034.12",,,,,
9-Aug-20,"1,076.87",,,,,
9-Aug-20,309.525,,,,,
9-Aug-20,"1,726.29",,,,,
12-Aug-20,"1,374.91",,,,,
14-Aug-20,"1,282.04",,,,,
14-Aug-20,"1,077.67",,,,,
14-Aug-20,497.593,,,,,
14-Aug-20,"1,084.59",,,,,
19-Aug-20,"1,012.36",,,,,
22-Aug-20,"1,253.91",,,,,
24-Aug-20,"1,348.35",,,,,
24-Aug-20,"1,143.29",,,,,
24-Aug-20,536.148,,,,,
24-Aug-20,"1,577.04",,,,,
3-Sep-20,"1,353.59",,,,,
3-Sep-20,"1,116.05",,,,,
3-Sep-20,492.841,,,,,
3-Sep-20,"1,317.86",,,,,
6-Sep-20,"1,064.72",,,,,
11-Sep-20,"1,131.91",,,,,
13-Sep-20,"1,562.24",,,,,
13-Sep-20,"1,009.44",,,,,
13-Sep-20,576.885,,,,,
13-Sep-20,"1,404.40",,,,,
18-Sep-20,"1,438.89",,,,,
18-Sep-20,"1,106.10",,,,,
